category,question,answer,min,max,funfact,image,datasource,datasourceurl,magnitude,guesses
Prepared for disaster,What proportion of Ipswich households would have enough drinking water if cut off from services for 3 days?,64,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[1,1,0,8,3,0,5,2,0,0,5,0,0,5,3,1,0,0,5,1,3,1,4,3,0,1,0,1,0,0,0,0,6,1,2,0,5,2,0,0,3,2,4,0,3,3,0,0,2,4,0,5,1,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,2,0,2,0,1,0,3,2,0,7,0,0,2,1,2,1,0,3,6,2,1,4,4,2,4,0,1,6,1,8,0,4]"
Prepared for disaster,What proportion of Townsville households would have a torch and fresh batteries if cut off from services for 3 days?,94,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[4,8,2,3,0,2,3,0,0,4,0,0,4,4,8,0,0,0,2,3,2,0,0,8,2,7,0,0,1,2,4,3,0,0,0,1,0,3,0,3,5,2,0,4,2,1,3,0,5,0,0,1,5,1,1,5,1,4,1,1,2,3,2,2,3,1,0,2,1,8,8,1,7,7,0,3,0,0,5,0,0,2,0,0,1,3,0,8,6,0,3,3,0,3,2,3,1,4,4,0]"
Prepared for disaster,What proportion of Gold Coast households would have a battery powered radio if cut off from services for 3 days?,41,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[0,0,1,6,1,2,0,2,0,0,1,1,3,3,0,1,6,5,3,1,1,0,0,0,5,0,0,9,2,6,5,0,0,0,0,7,2,0,1,1,1,3,0,2,0,6,3,1,1,0,0,0,0,1,3,0,0,1,0,1,5,0,3,4,1,0,0,4,0,0,1,3,0,0,4,1,0,8,0,5,1,1,0,1,1,1,0,2,4,4,5,0,4,1,0,0,1,1,3,0]"
Prepared for disaster,What proportion of Far North Queensland households would have a battery powered radio if cut off from services for 3 days?,72,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[2,0,0,3,0,0,1,1,3,0,2,0,0,7,5,3,8,0,0,5,0,7,1,2,2,3,2,1,2,0,1,1,7,3,0,5,0,5,0,7,0,1,0,0,0,2,3,0,9,1,0,1,1,1,3,0,3,2,1,2,2,0,5,0,0,2,8,2,1,2,1,0,0,6,0,4,4,1,0,0,4,3,0,0,0,0,0,5,1,4,2,0,1,3,5,3,3,1,7,1]"
Prepared for disaster,"What proportion of Queensland households would have cleaned out gutters, drains and/or flood channels in last 12 months?",11,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[0,3,0,0,4,1,6,3,2,0,3,5,0,3,4,0,1,0,1,3,3,1,1,1,2,1,1,0,8,1,0,0,2,3,1,0,1,5,1,2,0,1,0,2,3,2,1,0,2,2,5,2,4,6,0,2,3,0,2,6,3,2,3,1,1,2,7,1,0,0,3,0,3,1,0,0,0,0,0,3,3,0,1,1,0,0,2,0,2,0,0,0,0,0,0,3,4,2,6,6]"
Prepared for disaster,What proportion of Queensland households would have checked they have adequate supplies of regularly taken medications in last 12 months?,6,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[7,7,1,4,0,4,2,3,0,5,0,0,6,2,0,7,0,1,7,1,3,0,6,2,5,0,2,0,5,1,8,3,2,0,2,7,4,0,0,2,0,2,0,1,0,0,5,2,0,3,4,7,0,0,3,3,2,5,0,4,2,0,2,0,0,4,0,1,1,3,2,0,1,6,6,0,1,5,0,8,0,2,1,4,1,1,3,2,1,6,6,3,2,3,1,4,2,3,0,0]"
Prepared for disaster,What proportion of Queensland households would have discussed/decided what to do if home was at risk in last 12 months?,15,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[0,0,0,1,0,8,5,1,3,0,2,6,0,3,0,3,0,0,0,4,1,0,3,4,1,3,1,5,0,1,1,0,2,2,2,3,0,2,2,1,1,0,0,0,2,7,5,1,0,0,7,0,2,0,0,1,5,1,0,0,0,7,0,0,2,0,4,6,0,0,1,0,1,1,1,0,3,3,1,0,0,8,6,3,1,1,0,2,3,1,4,0,5,1,4,0,2,2,0,1]"
Prepared for disaster,"What proportion of Queensland households that are a Unit, flat or apartment would have items stored as an emergency kits?",25,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[2,3,0,5,1,4,2,0,0,3,3,0,1,2,6,0,1,5,1,0,2,4,6,1,2,1,1,7,3,7,3,8,0,1,2,1,0,7,2,0,1,1,5,0,1,0,1,2,0,2,1,0,4,3,6,2,2,1,0,0,3,1,6,2,2,2,7,5,0,3,9,2,0,0,9,3,0,3,3,3,3,1,0,0,1,3,0,0,0,4,6,1,2,1,4,0,0,0,5,0]"
Prepared for disaster,What proportion of Queensland households that are a stand alone house would have Items stored as an emergency kit?,27,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[5,7,1,0,0,5,3,5,5,0,0,2,0,7,3,2,3,2,2,6,1,2,4,4,1,1,1,0,4,3,6,0,6,1,6,0,0,0,0,5,1,0,0,6,0,0,0,5,2,5,0,1,2,0,1,1,0,9,0,3,2,3,4,2,0,0,7,3,0,6,3,2,0,2,6,2,0,2,0,7,1,0,2,2,0,8,1,5,0,1,0,0,7,8,2,4,3,1,0,1]"
Prepared for disaster,"What proportion of Queensland households that are a Unit, flat or apartment would have enough food if cut off from services for 3 days?",85,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[4,8,1,8,0,0,0,0,0,2,1,0,5,3,0,4,5,0,6,1,0,5,2,0,2,2,0,1,1,1,4,1,0,4,1,3,2,4,2,1,0,0,1,5,2,0,0,4,3,0,1,1,2,0,2,1,4,1,5,6,0,2,0,2,8,4,1,1,1,1,5,2,0,2,3,5,2,1,3,5,3,6,6,1,1,0,0,5,0,0,3,0,0,1,0,3,3,2,5,0]"
Prepared for disaster,What proportion of Queensland households that are a stand alone house would have enough food if cut off from services for 3 days?,92,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[1,6,1,0,3,3,3,7,5,1,0,0,0,3,0,2,0,3,7,0,4,2,0,1,4,0,3,1,2,3,0,0,0,0,0,4,2,3,0,3,6,1,1,1,4,8,0,8,9,3,3,0,2,3,1,7,0,0,0,2,9,0,2,1,0,0,0,4,1,0,2,0,0,5,0,0,0,5,4,0,0,0,1,0,6,0,0,0,6,0,0,7,0,2,2,6,1,3,3,2]"
Census,"In Australia, how many businesses are there in operation (latest figures till end of 2013)?",2079659,1000,15000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[5,0,0,1,1,1,9,2,7,0,0,0,2,1,0,1,0,4,6,0,7,3,0,0,0,1,1,3,0,4,0,6,0,0,6,4,0,0,7,0,3,2,1,4,7,0,5,0,0,0,5,0,0,0,4,4,9,1,3,0,7,4,8,0,3,5,1,6,0,0,3,2,2,0,4,3,1,1,0,4,5,2,1,6,7,2,4,0,0,0,6,4,2,0,3,2,0,3,2,3]"
Census,"In Australia, how many businesses closed down last year (latest figures till end of 2013)?",300770,1000,5000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[0,0,4,0,5,1,1,0,0,0,0,4,3,0,0,8,6,5,1,0,0,0,2,6,5,2,3,2,2,0,5,3,6,5,5,0,0,3,3,4,0,5,4,0,0,1,3,0,3,1,2,9,3,0,0,3,2,0,2,0,1,4,6,0,0,0,1,4,3,0,1,0,0,2,2,0,0,1,0,6,1,4,5,3,1,0,1,1,1,0,0,3,8,0,0,1,1,5,0,4]"
Census,"In Australia, how many new businesses started last year (latest figures till end of 2013)?",239227,1000,5000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[3,2,0,3,3,8,9,4,3,0,1,3,0,2,3,4,3,0,0,0,1,2,0,0,0,1,0,0,2,4,1,3,2,0,0,1,1,2,1,6,3,6,0,2,6,0,0,5,0,4,2,1,1,4,1,0,3,0,5,1,5,0,4,1,7,0,5,2,0,0,2,1,0,3,1,2,0,0,6,1,1,1,0,1,0,9,4,0,2,1,0,0,1,7,0,0,6,5,2,7]"
Census,"In Australia, how many businesses went bankrupt last year (latest figures till end of 2013)?",21789,1000,500000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[1,2,0,1,1,0,1,2,4,0,1,6,4,2,1,0,0,1,2,0,0,2,3,0,1,2,0,7,0,0,0,5,0,0,0,6,3,4,1,3,1,0,4,8,3,7,0,0,0,1,1,0,4,6,0,2,0,0,7,3,0,0,2,1,2,3,7,2,3,5,1,5,0,3,1,7,0,0,3,2,1,0,1,3,0,8,4,0,2,1,2,5,3,4,1,0,2,2,0,2]"
Census,"In Australia, how many who were full time students recieved the Newstart Allowance last year (latest figures till end of 2013)?",247656,1000,10000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[0,6,3,8,4,0,5,0,1,9,1,4,2,5,4,0,0,2,0,2,2,0,7,1,3,0,1,2,0,0,0,4,5,6,1,6,0,5,1,1,4,2,3,2,1,5,7,2,1,0,6,3,5,0,3,2,0,0,5,1,0,1,0,1,3,0,3,0,1,0,2,0,4,1,2,3,0,1,1,2,4,0,0,4,0,2,6,4,0,0,7,1,1,3,4,0,7,0,2,3]"
Census,"In Australia, how many people recieved the single parent parenting payment last year (latest figures till end of 2013)?",255411,1000,10000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[5,0,0,4,1,2,7,0,0,5,0,1,0,2,7,0,6,1,0,2,5,0,0,3,3,0,0,2,1,4,6,2,0,4,1,4,0,3,0,0,1,1,7,2,1,7,3,0,0,0,1,0,3,0,8,1,5,2,2,0,1,0,2,6,2,1,2,4,0,2,1,1,4,0,0,0,1,3,2,1,0,0,0,2,0,2,4,0,1,0,0,2,0,4,0,5,1,1,1,5]"
Census,"In Australia, how many people recieved the Newstart Allowance (dole) last year (latest figures till end of 2013)?",660673,1000,10000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[1,1,0,0,0,3,2,0,0,1,4,4,2,3,5,4,1,6,0,0,0,4,5,0,1,0,6,8,0,0,0,0,6,8,1,2,0,0,2,1,1,2,1,0,0,5,0,0,6,3,0,0,0,2,2,2,0,2,4,3,5,1,1,1,3,4,6,8,0,0,5,2,1,0,0,9,9,3,0,0,2,1,2,1,0,2,4,3,1,1,0,0,0,2,1,4,0,1,0,3]"
Census,"In Australia, of people who recieved the Newstart Allowance (dole) last year (latest figures till end of 2013) how many had been on the Newstart Allowance for more than 365 days?",66,0,100,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,percentage,"[1,1,0,1,0,0,0,3,1,2,4,0,0,5,5,2,0,5,2,0,7,2,0,0,0,1,3,5,4,0,0,1,3,4,0,4,0,3,4,0,1,0,2,0,5,7,0,0,5,0,0,0,4,1,0,6,0,1,1,0,2,2,3,3,4,1,0,3,0,1,2,1,1,0,7,0,1,0,0,2,1,2,0,1,1,1,2,1,1,6,6,4,0,1,0,1,2,0,0,4]"
Census,"In Australia, how many people recieved the Age Pension last year (latest figures till end of 2013)?",2352139,100000,10000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[0,3,2,2,2,0,0,4,9,3,5,2,0,3,0,1,3,2,1,0,0,1,2,1,4,1,0,0,0,1,2,3,8,0,5,3,1,1,1,2,5,0,0,0,1,4,5,1,6,6,3,0,1,0,1,0,2,7,0,6,3,2,1,5,1,0,1,4,2,4,3,4,6,3,0,2,0,1,1,1,1,0,1,0,2,2,2,6,2,1,1,0,3,1,6,2,1,3,2,0]"
Census,In Australia how many Education and training business are there (lastest figures till end of 2013)?,25128,10,1000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[5,2,4,0,0,0,2,8,2,2,1,1,2,6,8,0,0,5,4,2,4,8,1,1,0,4,4,7,0,1,2,4,4,1,2,0,0,4,1,0,5,0,0,4,0,3,0,4,0,4,0,0,3,1,2,0,2,4,0,2,3,0,1,3,0,6,1,0,1,2,0,0,5,0,6,0,0,0,0,4,3,0,1,0,1,0,0,0,2,0,0,2,0,3,1,0,4,0,0,2]"
Census,In Australia how many Professional scientific and technical services business are there (lastest figures till end of 2013)?,241816,10,1000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[0,3,6,0,0,0,8,0,1,3,2,2,1,0,7,0,1,3,0,0,1,3,0,0,1,6,2,3,2,6,2,3,1,1,6,2,8,4,6,4,5,6,1,6,0,2,3,3,2,0,2,0,0,0,2,6,0,0,0,1,3,5,0,5,2,7,0,0,0,0,0,0,3,0,1,5,5,3,2,0,4,1,2,0,0,2,0,3,0,2,2,0,4,2,1,3,2,0,4,1]"
Census,"In Australia how many Rental, hiring and real estate services business are there (lastest figures till end of 2013)?",219879,10,1000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[1,5,7,0,5,0,0,1,0,6,0,0,3,0,0,0,0,3,0,0,1,0,1,6,2,0,1,0,0,2,1,0,1,3,1,0,2,0,0,1,7,3,0,0,4,2,0,0,5,1,8,2,0,0,1,0,0,6,0,1,0,1,4,5,2,7,2,0,4,0,1,0,0,0,5,1,5,4,0,3,0,0,0,3,2,4,0,0,1,0,0,3,1,1,4,0,3,0,0,0]"
Census,In Australia how many dollars were spent building new private sector houses in 2013?,24904000000,100000,500000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[2,5,0,4,1,4,0,0,3,3,3,0,0,3,2,0,5,3,6,6,5,2,6,0,5,0,0,1,7,1,1,5,1,1,2,1,4,3,0,0,0,1,0,6,3,0,0,0,1,0,0,3,0,3,1,2,1,0,4,3,2,0,0,8,0,2,2,2,1,1,3,3,1,2,4,1,1,0,0,4,0,0,2,3,0,0,0,2,0,0,0,0,1,1,9,3,6,6,1,4]"
Census,As at Dec 2014 what was the total poulation of Australia?,23625561,100000,100000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[0,4,4,0,3,0,0,0,0,0,2,1,3,0,3,1,0,2,1,2,6,0,0,2,0,3,0,4,6,0,3,0,0,0,2,1,1,8,0,1,1,0,2,0,1,0,0,1,1,4,2,4,2,0,5,1,2,5,8,3,2,0,6,1,2,5,8,3,6,8,8,3,7,1,6,5,8,0,0,3,2,8,0,0,0,2,0,2,1,3,1,4,0,0,3,7,5,3,3,6]"
Census,As at Dec 2014 what was the total poulation of QLD?,4750513,100000,100000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[0,4,2,1,4,1,0,3,3,0,6,7,4,1,1,1,0,3,0,4,7,5,3,3,0,1,3,0,0,2,0,1,1,0,2,1,7,0,1,0,1,2,0,0,6,4,1,2,0,0,3,0,0,3,8,1,3,0,5,0,4,2,4,5,2,2,0,0,0,3,3,1,0,2,0,0,0,0,6,4,0,1,0,4,3,8,0,6,2,1,2,4,0,4,4,0,0,3,2,2]"
Census,As at Dec 2014 what was the total poulation of the Northern Territory?,244265,100000,100000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[0,6,1,3,5,1,0,4,2,6,0,0,6,1,1,5,4,0,0,3,0,5,1,1,7,4,0,0,0,0,0,3,0,1,1,2,4,2,0,0,1,0,6,0,0,4,1,2,3,1,0,0,0,4,2,1,5,3,3,0,1,2,0,4,0,5,0,2,3,2,0,3,1,0,0,0,0,3,7,5,0,5,0,0,1,5,1,1,0,0,0,6,1,1,5,4,5,0,4,7]"
Census,As at Dec 2014 what was the total population of Tasmania?,515235,100000,100000000,test: Cenus is good,,ABS population and economic data,http://govhack.abs.gov.au/Index.aspx?themetreeid,logarithimic,"[0,0,0,3,2,3,2,0,1,0,0,0,7,0,0,1,0,0,3,0,2,5,0,0,3,0,0,3,0,2,1,1,5,7,2,0,2,1,2,1,1,8,0,1,2,2,0,0,0,1,0,8,3,3,0,0,5,5,1,0,5,2,3,0,0,1,0,2,5,1,1,3,7,6,0,8,6,0,1,4,0,5,0,2,4,0,4,0,4,3,5,3,0,0,0,1,5,3,0,5]"
